lesson,topic,subtopic,importance_weight,active
Matematik,Çarpanlar ve Katlar,Pozitif Tam Sayıların Pozitif Tam Sayı Çarpanları,4,True
Matematik,Çarpanlar ve Katlar,En Küçük Ortak Kat (EKOK),5,True
Matematik,Çarpanlar ve Katlar,En Büyük Ortak Bölen (EBOB),5,True
Matematik,Çarpanlar ve Katlar,Aralarında Asal Sayılar,4,True
Matematik,Üslü İfadeler,Tam Sayıların Tam Sayı Kuvvetleri,4,True
Matematik,Üslü İfadeler,Üssün Üssünü Alma,4,True
Matematik,Üslü İfadeler,Üslü İfadelerde Sıralama,3,True
Matematik,Üslü İfadeler,Üslü İfadelerde Çarpma İşlemi,4,True
Matematik,Üslü İfadeler,Üslü İfadelerde Bölme İşlemi,4,True
Matematik,Üslü İfadeler,Ondalık Gösterimlerin Çözümlenmesi,3,True
Matematik,Üslü İfadeler,Sayıları 10'un Farklı Tam Sayı Kuvvetlerini Kullanarak Yazma,3,True
Matematik,Üslü İfadeler,Çok Büyük ve Çok Küçük Sayıların Bilimsel Gösterimi,4,True
Matematik,Kareköklü İfadeler,Tam Kare Pozitif Tam Sayılar ve Bu Sayıların Karekökleri,5,True
Matematik,Kareköklü İfadeler,Tam Kare Olmayan Pozitif Tam Sayıların Karekökleri,5,True
Matematik,Kareköklü İfadeler,Kareköklü Bir İfadeyi a√b Şeklinde Yazma,5,True
Matematik,Kareköklü İfadeler,a√b Şeklindeki İfadede Katsayıyı Kök İçine Alma,4,True
Matematik,Kareköklü İfadeler,Kareköklü İfadelerde Çarpma İşlemi,5,True
Matematik,Kareköklü İfadeler,Kareköklü İfadelerde Bölme İşlemi,5,True
Matematik,Kareköklü İfadeler,Kareköklü Bir İfade ile Çarpıldığında Sonucu Doğal Sayı Yapan Çarpanlar,4,True
Matematik,Kareköklü İfadeler,Kareköklü İfadelerde Toplama ve Çıkarma İşlemi,5,True
Matematik,Kareköklü İfadeler,Ondalık İfadelerin Karekökleri,4,True
Matematik,Kareköklü İfadeler,Gerçek Sayılar,5,True
Matematik,Veri Analizi,Çizgi Grafiği,3,True
Matematik,Veri Analizi,Sütun Grafiği,3,True
Matematik,Veri Analizi,Daire Grafiği,3,True
Matematik,Veri Analizi,Verileri Uygun Grafikle Gösterme ve Grafikler Arası Dönüşüm Yapma,4,True
Matematik,Olasılık,Olasılıkla İlgili Kavramlar,3,True
Matematik,Olasılık,Olası Durumları Belirleme,3,True
